Date	LT1	LT2	LT3	LT4	LT5	LT6	LT7	LT8	LT9	LT10
1-Aug	2.28	9.13	4.39	3.46	4.81	5.36	9.27	6.24	8.69	14.77
2-Aug	3.10	6.73	8.20	5.50	5.30	2.18	2.16	2.49	4.16	4.37
3-Aug	4.19	4.19	3.29	3.75	2.73	5.13	7.83	2.32	5.17	8.31
4-Aug	15.44	2.86	6.91	4.06	7.18	5.19	2.38	0.99	7.65	2.10
5-Aug	12.42	1.91	9.47	1.26	4.89	7.99	3.11	6.82	6.91	3.00
6-Aug	5.78	9.85	1.30	1.99	4.55	2.11	6.34	6.48	5.65	3.07
7-Aug	8.75	9.82	6.21	2.57	7.12	5.32	3.05	9.00	3.71	2.76
8-Aug	3.51	1.90	6.06	3.58	0.80	4.06	4.71	2.43	2.46	1.65
9-Aug	4.35	4.42	4.95	3.55	2.90	2.67	1.00	5.98	2.30	0.84
10-Aug	2.64	12.16	6.95	1.84	7.04	5.94	8.68	7.68	2.40	9.41
11-Aug	9.22	1.82	3.53	5.08	2.18	3.32	8.79	3.66	5.41	4.27
12-Aug	3.11	3.93	1.89	2.66	10.62	12.26	1.83	6.38	5.53	8.34
13-Aug	7.16	4.18	3.59	4.54	3.29	3.45	14.01	4.96	7.70	4.21
14-Aug	2.15	14.92	8.72	3.94	1.29	8.01	7.76	2.41	3.39	7.02
15-Aug	4.16	1.05	5.49	4.33	5.60	7.34	3.84	0.93	2.91	3.47
16-Aug	5.46	1.09	12.97	7.63	3.34	6.38	2.11	6.64	7.26	8.86
17-Aug	8.50	3.41	2.95	2.75	2.69	1.56	1.08	1.03	6.88	4.18
18-Aug	1.06	2.92	2.14	2.32	2.46	9.71	5.61	1.90	2.30	6.10
19-Aug	2.14	2.50	9.29	3.34	5.72	7.14	3.11	4.12	0.53	2.21
20-Aug	10.55	2.25	4.38	12.07	3.14	2.06	5.61	4.41	10.17	8.00
21-Aug	3.91	1.96	11.61	6.47	9.04	0.52	9.36	6.43	2.86	1.27
22-Aug	2.36	0.56	4.93	1.21	1.80	10.26	4.44	0.98	2.86	3.33
23-Aug	3.78	4.55	9.83	7.68	3.05	2.50	2.08	8.49	2.66	7.14
24-Aug	4.44	1.91	3.62	3.99	6.98	5.19	3.45	3.35	5.49	2.80
25-Aug	4.43	3.85	6.72	4.77	2.18	2.61	4.57	5.05	3.94	3.87
26-Aug	4.04	11.95	4.18	8.27	2.44	5.92	2.53	4.80	3.56	5.83
27-Aug	4.75	8.71	1.84	5.09	11.24	4.77	6.83	3.38	7.33	3.81
28-Aug	6.20	4.07	5.31	4.23	2.57	4.86	2.81	3.57	3.40	7.64
29-Aug	5.36	12.46	6.85	8.09	3.95	2.32	4.83	5.50	9.43	2.90
30-Aug	6.84	5.61	4.76	5.14	9.49	5.00	3.11	4.92	1.64	4.24
