Date	WT1	WT2	WT3	WT4	WT5	WT6	WT7	WT8	WT9	WT10
1-Aug	6.75	5.96	8.95	7.47	3.70	4.07	9.08	5.11	5.46	9.65
2-Aug	3.83	9.91	4.73	9.13	10.55	9.32	11.94	6.46	3.95	7.79
3-Aug	6.64	4.11	6.60	9.54	8.96	9.78	6.91	7.34	7.38	7.47
4-Aug	5.11	5.60	6.46	4.46	7.98	6.58	7.26	5.69	6.69	7.05
5-Aug	6.85	9.12	6.86	4.54	6.80	7.17	4.83	8.33	8.23	7.22
6-Aug	5.50	2.97	7.25	5.94	6.75	6.45	7.90	6.38	4.73	8.00
7-Aug	6.71	5.31	7.42	6.25	7.51	6.52	7.23	5.24	5.60	9.87
8-Aug	6.26	9.33	1.56	8.00	8.27	8.46	5.77	7.07	5.65	6.13
9-Aug	10.41	8.29	9.34	7.31	7.70	9.05	3.35	8.99	9.94	5.35
10-Aug	6.88	9.64	3.66	4.17	3.78	8.53	10.37	6.14	8.74	8.12
11-Aug	7.59	11.07	6.77	6.16	6.77	7.01	5.44	9.52	11.02	5.37
12-Aug	8.97	6.87	9.90	5.95	4.19	7.68	6.02	8.16	7.16	3.90
13-Aug	6.79	8.49	7.70	7.39	10.73	4.54	8.75	6.18	4.19	8.05
14-Aug	8.22	5.10	10.11	6.60	5.69	4.94	10.22	10.15	6.09	7.29
15-Aug	5.69	6.98	5.86	4.80	9.46	7.48	8.42	1.17	9.41	7.43
16-Aug	6.74	8.80	8.26	2.92	6.47	6.42	5.33	7.54	4.47	6.63
17-Aug	9.61	6.78	9.24	11.15	9.68	8.12	7.03	5.18	9.30	7.05
18-Aug	5.90	9.46	4.98	8.58	6.76	8.30	7.18	8.25	7.57	6.00
19-Aug	11.43	5.01	6.37	6.96	6.45	9.15	8.14	6.80	4.68	9.33
20-Aug	8.11	6.68	7.87	4.41	7.60	9.37	9.58	10.16	2.29	11.18
21-Aug	5.56	8.14	6.39	8.23	4.35	7.21	9.69	8.01	1.10	7.92
22-Aug	4.26	4.93	1.80	5.06	5.89	5.48	8.71	5.86	6.22	6.89
23-Aug	7.64	3.24	5.91	4.32	8.32	8.90	7.80	6.54	9.16	7.59
24-Aug	6.82	6.69	8.94	3.11	11.42	6.36	5.37	9.13	5.43	5.42
25-Aug	7.50	8.57	10.65	5.15	9.07	9.16	6.00	5.90	7.57	7.06
26-Aug	6.60	5.67	6.60	4.95	7.79	8.95	8.56	5.50	3.51	6.89
27-Aug	6.71	6.87	10.62	5.25	5.47	4.99	4.02	8.80	7.91	9.39
28-Aug	9.30	3.10	7.46	3.56	9.12	5.48	4.12	8.11	8.17	6.68
29-Aug	2.81	6.16	8.02	7.38	6.04	8.76	4.44	6.87	8.87	7.81
30-Aug	9.20	7.44	5.25	9.35	6.03	5.74	7.08	6.49	9.42	7.78
