CustomerID,ProductLine,ProductNumber,Date,Amount
300,B-200,228,1/1/2021,40
347,A-100,171,1/1/2021,36
373,E-500,571,1/1/2021,169
489,E-500,592,1/1/2021,182
507,D-400,438,1/1/2021,142
50,D-400,493,1/2/2021,119
180,D-400,460,1/2/2021,104
204,D-400,469,1/2/2021,149
665,C-300,316,1/2/2021,82
753,B-200,275,1/2/2021,41
810,C-300,324,1/2/2021,87
885,D-400,411,1/2/2021,117
895,B-200,220,1/2/2021,37
297,E-500,592,1/3/2021,156
340,A-100,112,1/3/2021,45
561,C-300,319,1/3/2021,60
582,A-100,140,1/3/2021,21
771,D-400,401,1/3/2021,141
858,C-300,376,1/3/2021,99
169,A-100,108,1/4/2021,30
207,A-100,127,1/4/2021,38
416,D-400,419,1/4/2021,135
528,A-100,158,1/4/2021,29
643,A-100,101,1/4/2021,25
671,A-100,131,1/4/2021,29
129,A-100,187,1/5/2021,31
214,D-400,420,1/5/2021,145
363,E-500,535,1/5/2021,167
382,A-100,184,1/5/2021,47
962,C-300,396,1/5/2021,64
390,E-500,527,1/6/2021,175
448,C-300,377,1/6/2021,113
468,A-100,179,1/6/2021,28
739,B-200,254,1/6/2021,54
739,B-200,274,1/6/2021,47
740,C-300,360,1/6/2021,83
783,D-400,482,1/6/2021,147
792,B-200,256,1/6/2021,53
862,B-200,283,1/6/2021,67
62,C-300,338,1/7/2021,118
159,C-300,305,1/7/2021,61
363,C-300,354,1/7/2021,116
467,C-300,352,1/7/2021,53
31,E-500,504,1/8/2021,175
68,B-200,225,1/8/2021,55
130,C-300,363,1/8/2021,100
579,A-100,145,1/8/2021,42
683,C-300,344,1/8/2021,76
741,C-300,336,1/8/2021,90
860,B-200,258,1/8/2021,52
42,C-300,348,1/9/2021,67
57,B-200,237,1/9/2021,49
80,B-200,269,1/9/2021,36
104,D-400,493,1/9/2021,105
418,C-300,364,1/9/2021,73
524,D-400,407,1/9/2021,136
648,A-100,144,1/9/2021,41
648,D-400,402,1/9/2021,104
682,D-400,402,1/9/2021,111
702,C-300,324,1/9/2021,96
48,C-300,308,1/10/2021,75
207,B-200,238,1/10/2021,33
939,B-200,201,1/10/2021,32
949,B-200,250,1/10/2021,63
77,E-500,532,1/11/2021,210
116,A-100,186,1/11/2021,20
728,C-300,393,1/11/2021,119
752,B-200,221,1/11/2021,65
866,A-100,166,1/11/2021,40
955,A-100,133,1/11/2021,42
142,A-100,182,1/12/2021,10
223,E-500,562,1/12/2021,182
279,B-200,202,1/12/2021,34
555,E-500,515,1/12/2021,211
625,B-200,246,1/12/2021,75
734,B-200,297,1/12/2021,78
64,C-300,343,1/13/2021,100
105,C-300,313,1/13/2021,92
209,C-300,354,1/13/2021,62
594,A-100,195,1/13/2021,38
621,B-200,280,1/13/2021,66
710,D-400,405,1/13/2021,103
911,A-100,172,1/13/2021,17
975,D-400,441,1/13/2021,112
980,D-400,421,1/13/2021,115
477,C-300,366,1/14/2021,93
542,B-200,274,1/14/2021,38
21,D-400,470,1/15/2021,114
38,B-200,218,1/15/2021,32
131,D-400,409,1/15/2021,107
187,A-100,181,1/15/2021,37
193,B-200,227,1/15/2021,67
