x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
10.0071,-3.8675,6.6899,33.1367,24.3674,-1.7803,-1.2021,-49.9108,-35.015,-69.6709,Bicycle
4.0799,5.365,22.6921,5.884,-7.3794,9.4086,-47.1878,-26.575,90.0186,51.9291,Walk
4.4219,-5.1384,19.914,30.285,18.3257,-7.5855,-4.9785,-43.7822,27.4785,-24.0543,Bicycle
2.4046,1.0938,-22.8637,47.5924,4.2035,29.6571,22.1897,-9.1959,75.0079,4.3526,Taxi
-3.1989,10.1843,-9.762,-7.9439,2.7512,5.4564,-20.1493,-3.7285,9.7938,16.1566,Bus
3.3183,1.7124,-1.1506,40.5618,3.029,62.2149,-4.7436,32.4889,28.7412,1.8977,Bicycle
3.1498,-7.0815,-0.2449,-16.1155,13.1693,-27.9092,-5.7315,2.1166,-21.1366,36.2301,Bicycle
5.1772,7.3199,4.8248,-2.6211,23.177,1.7672,-48.0391,83.2551,11.2071,-49.4351,Taxi
-2.241,0.4792,-17.5672,-27.4373,45.104,73.2837,-31.6094,-50.0866,-13.2045,13.8897,Bicycle
-0.2106,4.25,-5.9688,-12.8905,-11.0251,-17.9844,46.8862,29.2531,27.3408,20.3382,Walk
2.1618,5.9733,4.5633,-16.7242,40.3041,34.561,-10.9479,-30.3063,2.7902,53.5728,Walk
6.9992,16.645,26.3885,-32.6701,-15.9492,30.1917,65.1884,21.8521,42.7143,45.6378,Walk
-4.013,-4.4292,4.649,9.0073,-23.0896,3.0933,-42.0438,19.7645,-48.8665,49.4406,Bicycle
0.6413,0.4019,8.4499,-2.5068,-17.4435,56.3676,48.5326,91.9941,-2.3738,14.3131,Others
3.6945,-7.2192,-12.6507,12.1572,25.4486,11.4813,4.2549,-2.4833,-4.4234,48.5226,Bicycle
-0.7868,-1.3837,0.9654,-50.5693,35.9531,9.5605,-1.1323,-17.97,13.2627,-25.5786,Bicycle
4.6256,9.1471,39.4783,-17.9228,28.4155,53.7444,-2.7315,30.0892,-28.6003,39.9722,Bicycle
1.4224,-6.9785,-7.0707,7.4157,-12.2058,-30.2947,-21.7711,53.2883,13.4437,-78.9335,Bicycle
-0.8392,-17.1497,-7.8797,10.9444,17.8972,-3.5974,56.1864,7.7579,21.6328,105.68,Bicycle
1.4843,-10.2974,0.355,11.5923,18.465,-49.3831,-41.1352,34.8106,-31.925,63.5198,Bicycle
