"","x","y"
"1",1,0
"2",2,1
"3",3,5
"4",4,6
"5",5,4
"6",6,6
"7",7,9
"8",8,10
"9",9,8
"10",10,11
"11",11,14
"12",12,11
"13",13,14
"14",14,20
"15",15,14
"16",16,13
"17",17,20
"18",18,17
"19",19,18
"20",20,13
"21",21,13
"22",22,28
"23",23,27
"24",24,28
"25",25,27
"26",26,23
"27",27,22
"28",28,24
"29",29,17
"30",30,39
"31",31,22
"32",32,31
"33",33,27
"34",34,20
"35",35,34
"36",36,36
"37",37,44
"38",38,46
"39",39,32
"40",40,38
"41",41,44
"42",42,46
"43",43,51
"44",44,34
"45",45,32
"46",46,37
"47",47,49
"48",48,47
"49",49,57
"50",50,45
